Epic,ID,Title,Description,Acceptance Criteria,Depends On,Test Ref
"Epic 3 - Metasploit","P3-03","Batasi handler RPC yang bisa dipanggil","Whitelist: module.execute, module.info, job.list, job.stop, session.list, session.stop. console.write/read tidak diekspos.","Test/lint membuktikan tidak ada pemanggilan handler di luar whitelist.","P3-02","MSF-02"
"Epic 3 - Metasploit","P3-04","Katalog modul tetap (constants)","Struktur id/msfModulePath/category/allowedTargetTypes/requiresApproval/maxDurationSeconds hardcoded di kode.","Request dengan modulePath bebas dari body ditolak; hanya id katalog diterima.","P3-03","MSF-01;MSF-02"
"Epic 3 - Metasploit","P3-05","Entity & state machine ValidationJob","Status: DRAFT->PENDING_APPROVAL->APPROVED->QUEUED->RUNNING->status akhir.","Transisi hanya lewat method service tervalidasi.","P3-04",""
"Epic 3 - Metasploit","P3-06","Approval workflow + segregation of duty","Transisi ke APPROVED/RUNNING butuh target in-scope, modul di katalog, approver != requester, belum expired.","Requester mencoba approve job sendiri ditolak.","P3-05;P1-04","MSF-03;MSF-04"
"Epic 3 - Metasploit","P3-07","Timeout, concurrency limit, emergency stop","Timeout otomatis per job; max 1 job aktif per target; endpoint emergency stop.","Job lewat timeout dihentikan; emergency stop menghentikan proses & sesi.","P3-06","MSF-05;MSF-06"
"Epic 3 - Metasploit","P3-08","Test MSF-01-06 lengkap","Seluruh skenario Metasploit di Bagian 13.","Semua 6 skenario lulus.","P3-03;P3-04;P3-05;P3-06;P3-07","MSF-01;MSF-02;MSF-03;MSF-04;MSF-05;MSF-06"
"Epic 4 - Evidence","P4-01","Entity EvidenceArtifact + storage","Field termasuk sha256, previousArtifactHash, classification, retentionUntil.","Artifact tersimpan dengan hash yang cocok dengan file aktual.","P2-05;P3-08",""
"Epic 4 - Evidence","P4-02","Hash chaining","Artifact baru menyimpan sha256 artifact terakhir project sebagai previousArtifactHash.","Rantai hash bisa ditelusuri mundur sampai artifact pertama.","P4-01",""
"Epic 4 - Evidence","P4-03","verifyEvidenceChain(researchProjectId)","Hitung ulang rantai, laporkan index pertama yang tidak cocok.","Mengubah satu artifact di tengah rantai terdeteksi di titik yang benar.","P4-02","EVD-01"
"Epic 4 - Evidence","P4-04","Audit log evidence read-only","Create/read evidence tercatat; tidak ada endpoint update/delete audit log.","Percobaan ubah/hapus audit log ditolak.","P4-01","AUD-01"
"Epic 4 - Evidence","P4-05","Test EVD-01 + deteksi penghapusan record","Artifact berubah -> mismatch; record dihapus di tengah rantai -> break terdeteksi.","Kedua skenario lulus.","P4-02;P4-03","EVD-01"
"Epic 5 - ngrok","P5-01","Entity & endpoint tunnel management","Field: purpose, operator, localEndpoint, startedAt, expiresAt, status. Token dari environment secret saat runtime.","DB tidak pernah menyimpan token ngrok.","P1-07",""
"Epic 5 - ngrok","P5-02","Allowlist localEndpoint di kode","Tolak target ke port DB/Redis/MSF RPC/ADB/lab-simulator dengan error jelas.","Request ke port terlarang ditolak, bukan silent pass-through.","P5-01","NG-01"
"Epic 5 - ngrok","P5-03","Auto-expiry scheduler","Scheduled job menutup tunnel otomatis saat lewat expiresAt.","Tunnel kedaluwarsa nonaktif tanpa intervensi manual.","P5-01","NG-02"
"Epic 5 - ngrok","P5-04","Test NG-01, NG-02","Tunnel mencoba buka DB; tunnel kedaluwarsa.","Kedua skenario lulus.","P5-02;P5-03","NG-01;NG-02"
"Epic 6 - Dashboard & Report","P6-01","Halaman Research Project (list/detail)","Mengikuti pola halaman apps/web yang sudah ada.","CRUD dari UI konsisten dengan API.","P1-01",""
"Epic 6 - Dashboard & Report","P6-02","Halaman Authorization + upload + status","Termasuk tampilan status APPROVED/EXPIRED/REVOKED.","Upload dari UI berhasil, status ter-refresh.","P1-02",""
"Epic 6 - Dashboard & Report","P6-03","Halaman Scope Assets","CRUD nested di bawah Authorization.","-","P1-03",""
"Epic 6 - Dashboard & Report","P6-04","Halaman OSINT Jobs","Form submit domain + sumber data; tampilan hasil terstruktur.","-","P2-05",""
"Epic 6 - Dashboard & Report","P6-05","Halaman Validation Job (approval terpisah)","UI mencegah requester approve job sendiri (double enforcement dengan P3-06).","Requester tidak melihat tombol approve pada job miliknya.","P3-06",""
"Epic 6 - Dashboard & Report","P6-06","Halaman Evidence (viewer + status chain)","Menampilkan hasil verifyEvidenceChain.","-","P4-03",""
"Epic 6 - Dashboard & Report","P6-07","Halaman Audit Log (read-only)","Filter berdasarkan researchProjectId.","Tidak ada aksi edit/hapus di UI.","P4-04",""
"Epic 6 - Dashboard & Report","P6-08","Generator Research Report (FR-20)","Mencakup 10 komponen FR-20 (scope, metode, versi alat, assets, temuan, validasi, batasan, bukti, kejadian, kesimpulan, etika).","Laporan memuat seluruh komponen FR-20 untuk satu researchProjectId.","P6-01;P6-02;P6-03;P6-04;P6-05;P6-06;P6-07",""
"Epic 7 - Docs Governance","P7-01","Template Rules of Engagement","Diturunkan dari Bagian 14; placeholder per ResearchProject.","Mencakup semua item daftar isi RoE.","",""
"Epic 7 - Docs Governance","P7-02","Template Threat Model","Placeholder diisi per project.","-","",""
"Epic 7 - Docs Governance","P7-03","Data Classification & Retention Policy","Diturunkan dari Bagian 15.","Mapping klasifikasi konsisten dengan EvidenceArtifact.classification.","",""
"Epic 7 - Docs Governance","P7-04","Reproducibility Notes & Limitations","Mendokumentasikan batas klaim ilmiah (Bagian 16).","Direview & disetujui pembimbing sebelum dipakai di laporan akhir.","",""
